article_id,author_id
1006.1408,MorgensternA
1006.1408,SchneiderK
1006.1409,FriedmannO
1006.1409,LangeM
1006.1411,FialikI
1006.1412,BernardoM
1006.1413,LagorioG
1006.1413,AnconaD
1006.1414,GuelevD
1006.1414,EneaC
1006.1414,DimaC
1006.1415,FridmanW
1006.1416,AppoldC
1006.1419,AbbottA
1006.1419,CaludeC
1006.1422,BayatA
1006.1422,SodanoP
1006.1422,BoseS
1006.1423,FloessD
1006.1423,AnderssonE
1006.1423,HilleryM
1006.1424,VedralV
1006.1424,HajdusekM
1006.1424,MarkhamD
1006.1424,AndersJ
1006.1426,SoedaA
1006.1426,MuraoM
1006.1428,BarthaM
1006.1429,CheneyJ
1006.1431,DunjkoV
1006.1431,KashefiE
1006.1432,SpittersB
1006.1433,ValironB
1006.1434,ReddE
1006.1434,YoungerA
1006.1441,CooperJ
1006.1441,DoerrB
1006.1441,FriedrichT
1006.1441,SpencerJ
1006.1449,KaskenpaloP
1006.1549,GawronP
1006.1549,KlamkaJ
1006.1549,MiszczakJ
1006.1549,WiniarczykR
1006.1666,LingC
1006.1673,AnandkumarA
1006.1673,MichaelN
1006.1673,TangA
1006.1673,SwamiA
1006.1681,TerrazasG
1006.1681,LandaSilvaD
1006.1681,KrasnogorN
1006.1683,WarnarsS
1006.1694,KiahH
1006.1694,LingS
1006.1694,EzermanM
1006.1694,JitmanS
1006.1749,HanteF
1006.1749,SigalottiM
1006.1772,BarmanK
1006.1772,DabeerO
1006.2162,HuhH
1006.2162,CaireG
1006.2162,MoonS
1006.2162,KimY
1006.2162,LeeI
1006.2195,KermanE
1006.2195,DaiW
1006.2195,MilenkovicO
1006.2197,DidehvarF
1006.2197,GhasemlooK
1006.2197,PourmahdianM
1006.2269,EngblomS
1006.2289,BaaderF
1006.2289,MorawskaB
1006.2313,FeuilletM
1006.2348,UngerT
1006.2348,PumpluenS
1006.2513,BabaieZadehM
1006.2513,JuttenC
1006.2513,NiazadehR
1006.2523,DokuAmponsahK
1006.2758,McKayM
1006.2758,SunL
1006.2814,SantosF
1006.2944,KahrsS
1006.2955,DashD
1006.2955,BishnuA
1006.2955,GuptaA
1006.2955,NandyS
1006.2992,PaulS
1006.2992,RamanujamR
1006.2993,CardelliL
1006.3033,TheodoridisS
1006.3033,BouboulisP
1006.3035,SmithN
1006.3035,SimmonsR
1006.3035,CohenS
1006.3159,BouissouO
1006.3159,SeladjiY
1006.3159,ChapoutotA
1006.3246,NuelG
1006.3246,DumasJ
1006.3302,SauerwaldT
1006.3302,FriedrichT
1006.3302,GairingM
1006.3442,GuillenJ
1006.3442,FusterSabaterA
1006.3541,deFigueiredoC
1006.3541,MachadoR
1006.3541,deSaV
1006.3541,daFonsecaG
1006.3573,AnderssonM
1006.3573,RathiV
1006.3573,ThobabenR
1006.3573,KliewerJ
1006.3573,SkoglundM
1006.3726,WebbH
1006.3726,LemireD
1006.3726,KaserO
1006.3782,PhanK
1006.3782,ParkJ
1006.3782,vanderSchaarM
1006.3825,EsparzaJ
1006.3825,GantyP
1006.3825,KieferS
1006.3825,LuttenbergerM
1006.3878,PurdyG
1006.3878,LundB
1006.3878,SmithJ
1006.3919,LauV
1006.3919,CuiY
1006.3962,GonnetP
1006.4136,MilanicM
1006.4136,LaberE
1006.4136,CicaleseF
1006.4136,GagieT
1006.4255,SasogluE
1006.4255,TelatarE
1006.4255,YehE
1006.4425,AndreychenkoA
1006.4425,CrouzenP
1006.4425,MikeevL
1006.4425,WolfV
1006.4442,RochaR
1006.4442,DeRaedtL
1006.4442,CostaV
1006.4442,KimmigA
1006.4442,DemoenB
1006.4586,EnglertM
1006.4586,GuptaA
1006.4586,KrauthgamerR
1006.4586,RaeckeH
1006.4586,TalgamI
1006.4586,TalwarK
1006.4661,HildebrandR
1006.4661,KoppeM
1006.4801,ZhangX
1006.4801,NikvandN
1006.4801,HashemiM
1006.4801,BeheshtiS
1006.4824,WangR
1006.4824,LauV
1006.4824,CuiY
1006.4955,EndrullisJ
1006.4955,deVrijerR
1006.4955,WaldmannJ
1006.5061,VorobyovS
1006.5061,GongX
1006.5061,TellamburaC
1006.5094,AldiniA
1006.5095,AltisenK
1006.5095,LiuY
1006.5095,MoyM
1006.5096,WolovickN
1006.5096,BarsottiD
1006.5097,MogaveroF
1006.5097,MuranoA
1006.5097,BiancoA
1006.5097,FaellaM
1006.5098,JobinA
1006.5098,CacheraD
1006.5099,TroinaA
1006.5099,GrassiE
1006.5099,CoppoM
1006.5099,DamianiF
1006.5099,DroccoM
1006.5101,GudemannM
1006.5101,OrtmeierF
1006.5102,NdukwuU
1006.5102,McIverA
1006.5103,RabeM
1006.5103,ScheweS
1006.5104,HaydenR
1006.5104,BradleyJ
1006.5104,StefanekA
1006.5166,GohariA
1006.5166,GamalA
1006.5166,AnantharamV
1006.5234,GoldbergL
1006.5234,JerrumM
1006.5235,VandinF
1006.5235,PietracaprinaA
1006.5235,RiondatoM
1006.5235,UpfalE
1006.5273,KimB
1006.5273,MoonY
1006.5273,GilM
1006.5398,WhitbeckJ
1006.5398,deAmorimM
1006.5398,ConanV
1006.5398,AmmarM
1006.5398,ZeguraE
1006.5561,KoberP
1006.5748,FroeseB
1006.5748,ObermanA
1006.5762,WongW
1006.5762,ShumK
1006.5879,KhistiA
