author_id,last_name,first_name,middle_name,gender,total_pubs,total_cites,avg_cites,med_coauthors,n_unique_coauthors,hindex,rank_total_pubs,rank_total_cites,rank_avg_cites,rank_hindex
ZhaoZ,Zhao,Zhizhen,,M,22,395,17.955,2.0,58,9,198,1416,14984,371
KamalapurkarR,Kamalapurkar,Rushikesh,,,10,625,62.5,2.5,13,9,827,770,4366,371
JamesR,James,Ryan,G,,11,321,29.182,2.0,11,9,685,1781,9697,371
ChengJ,Cheng,Justin,,F,13,996,76.615,2.0,26,9,498,427,3401,371
WeissmanT,Weissman,Tsachy,,,14,360,25.714,2.0,19,9,436,1573,10980,371
UnserM,Unser,Michael,,M,11,1842,167.455,3.0,21,9,685,160,1169,371
LhachemiH,Lhachemi,Hugo,,,15,158,10.533,1.0,6,9,384,3708,20733,371
HuangC,Huang,Chaoran,,M,19,997,52.474,4.0,65,9,251,426,5273,371
WenC,Wen,ChaoKai,,,9,719,79.889,4.0,18,9,1014,662,3241,371
IosifidisA,Iosifidis,Alexandros,,M,20,331,16.55,3.0,29,9,231,1718,15702,371
SinghS,Singh,Sukhdev,,M,25,1112,44.48,2.0,44,9,155,355,6281,371
PassarellaA,Passarella,Andrea,,F,17,287,16.882,2.0,21,9,313,2023,15653,371
AmatA,Amat,Alexandre,Graell,M,13,208,16.0,2.0,24,9,498,2851,16052,371
CohenD,Cohen,David,,M,15,332,22.133,3.0,19,9,384,1710,12373,371
ZhangP,Zhang,Pengfei,,male,24,474,19.75,3.0,65,9,167,1090,13698,371
BianchiF,Bianchi,Federico,,M,15,256,17.067,3.0,21,9,384,2305,15177,371
NassifA,Nassif,Ali,Bou,,16,301,18.812,3.0,23,9,344,1903,14284,371
KimH,Kim,H,Alicia,,31,525,16.935,3.0,92,9,100,954,15651,371
MaierA,Maier,Andreas,,M,22,431,19.591,5.0,108,9,198,1270,13721,371
AbrahamssonP,Abrahamsson,Pekka,,M,11,425,38.636,3.0,15,9,685,1291,7235,371
ZhangM,Zhang,Mengnan,,male,31,938,30.258,3.0,65,9,100,459,9376,371
FaberW,Faber,Wolfgang,,M,11,792,72.0,3.0,20,9,685,563,3647,371
RenY,Ren,Ye,,,13,602,46.308,4.0,43,9,498,809,6016,371
DehghantanhaA,Dehghantanha,Ali,,,9,619,68.778,3.0,22,9,1014,785,3873,371
LeeD,Lee,Doris,JungLin,F,27,334,12.37,3.0,84,9,135,1703,18868,371
ZhouZ,Zhou,Zhangbing,,,26,363,13.962,2.0,56,9,144,1551,17801,371
ZhangB,Zhang,Boyan,,M,17,1040,61.176,4.0,60,9,313,400,4435,371
McKayM,McKay,Matthew,R,M,9,511,56.778,3.0,15,9,1014,982,4832,371
YouF,You,Fengqi,,M,10,419,41.9,1.0,7,9,827,1323,6707,371
CabricD,Cabric,Danijela,,F,9,223,24.778,2.0,10,9,1014,2658,11388,371
MartinoL,Martino,Luca,,,16,266,16.625,3.0,22,9,344,2222,15698,371
JovanovicM,Jovanovic,Mihailo,R,M,11,934,84.909,2.0,19,9,685,460,3000,371
ZhangQ,Zhang,Qiang,,M,20,849,42.45,3.0,57,9,231,520,6575,371
UlukusS,Ulukus,Sennur,,,10,1095,109.5,2.0,16,9,827,366,2145,371
JannachD,Jannach,Dietmar,,M,12,626,52.167,2.0,22,9,574,767,5284,371
BermudezJ,Bermudez,Jose,Carlos,,11,196,17.818,3.0,9,9,685,3023,14990,371
LiuF,Liu,Feng,,,20,1104,55.2,3.0,53,9,231,362,4957,371
ZhouJ,Zhou,Jingren,,,20,339,16.95,3.5,61,9,231,1676,15650,371
JainS,Jain,Saahil,,M,15,225,15.0,2.0,34,9,384,2619,16738,371
NagaharaM,Nagahara,Masaaki,,M,11,365,33.182,2.0,14,9,685,1544,8486,371
ViergeverM,Viergever,Max,A,,10,1334,133.4,5.5,55,9,827,278,1634,371
HaydenP,Hayden,Patrick,,M,10,305,30.5,2.5,20,9,827,1878,9347,371
KumarS,Kumar,Sandeep,,M,23,306,13.304,3.0,58,9,181,1871,18025,371
MartinA,Martin,Alberto,F,M,18,356,19.778,2.5,33,9,279,1593,13693,371
LeydesdorffL,Leydesdorff,Loet,,,11,601,54.636,2.0,16,9,685,811,5041,371
KoldaT,Kolda,Tamara,G,M,10,275,27.5,2.0,17,9,827,2151,10323,371
RodriguesM,Rodrigues,Miguel,R,M,9,371,41.222,3.0,22,9,1014,1520,6750,371
SolazziM,Solazzi,Marco,,M,9,430,47.778,2.0,27,9,1014,1276,5867,371
CiuonzoD,Ciuonzo,D,,,9,660,73.333,2.0,9,9,1014,723,3566,371
HeroA,Hero,Alfred,O,M,18,254,14.111,2.0,35,9,279,2327,17205,371
PollinS,Pollin,Sofie,,F,11,376,34.182,3.0,21,9,685,1498,8237,371
ZengY,Zeng,Yilei,,F,16,3685,230.312,3.0,43,9,344,71,779,371
BruntonS,Brunton,Steven,L,M,13,789,60.692,3.0,25,9,498,569,4501,371
FedorovA,Fedorov,Andriy,,M,13,294,22.615,4.0,38,9,498,1941,12277,371
SabharwalA,Sabharwal,Ashutosh,,M,9,2396,266.222,2.0,18,8,1014,120,654,501
BordasS,Bordas,Stephane,P,M,10,604,60.4,2.5,27,8,827,804,4529,501
OseledetsI,Oseledets,Ivan,,,11,431,39.182,2.0,23,8,685,1270,7109,501
ZhuL,Zhu,Lei,,,12,551,45.917,4.0,43,8,574,896,6140,501
LiottaG,Liotta,Giuseppe,,M,10,196,19.6,2.0,21,8,827,3023,13717,501
JoretG,Joret,Gwenael,,M,28,162,5.786,3.0,47,8,127,3619,28635,501
PiantanidaP,Piantanida,Pablo,,M,14,205,14.643,2.0,19,8,436,2892,17045,501
ChatterjeeD,Chatterjee,Debasish,,M,11,172,15.636,1.0,12,8,685,3427,16331,501
ZhuZ,Zhu,Zilin,,F,16,550,34.375,3.5,40,8,344,898,8218,501
HoffmannJ,Hoffmann,Joerg,,M,10,942,94.2,1.0,13,8,827,456,2614,501
ZhuangX,Zhuang,Xiahai,,,11,933,84.818,3.0,27,8,685,461,3001,501
