author_id,last_name,first_name,middle_name,gender,total_pubs,total_cites,avg_cites,med_coauthors,n_unique_coauthors,hindex,rank_total_pubs,rank_total_cites,rank_avg_cites,rank_hindex
LeeJ,Lee,Jaewoo,,M,86,1509,17.547,3.0,219,23,17,235,15161,27
DebbahM,Debbah,Merouane,,M,28,4055,144.821,3.0,55,23,140,63,1429,27
ChenY,Chen,Y,,,94,6237,66.351,3.0,241,23,12,20,4017,27
HeathR,Heath,Robert,W,M,30,5644,188.133,2.0,50,22,121,26,999,31
AndrewsJ,Andrews,Jeffrey,G,M,29,4481,154.517,2.0,57,22,132,58,1284,31
LiuX,Liu,Xiao,,,71,1809,25.479,3.0,209,21,24,172,10995,35
RibeiroA,Ribeiro,Alejandro,,M,40,1783,44.575,3.0,65,21,64,181,6180,35
KimJ,Kim,Jong,Woo,,86,1684,19.581,3.0,221,21,17,197,13749,35
ZhangH,Zhang,Huazi,,,72,2275,31.597,3.0,184,21,22,125,8921,35
YangX,Yang,Xingyu,,M,51,4284,84.0,3.0,153,21,42,61,2983,35
ZhuX,Zhu,Xiao,Xiang,,47,2187,46.532,3.0,107,20,47,134,5903,40
ChenC,Chen,Cen,,,56,1291,23.054,3.0,136,20,37,299,11854,40
TuiaD,Tuia,Devis,,,25,2586,103.44,3.0,54,20,174,110,2289,40
OtterstenB,Ottersten,Bjorn,,M,26,1835,70.577,3.0,49,20,163,165,3676,40
LarssonE,Larsson,Erik,G,,30,2704,90.133,2.0,44,20,121,103,2729,40
LiuJ,Liu,Jing,,,76,2479,32.618,3.0,210,20,21,117,8611,40
HanZ,Han,Zhu,,,32,1350,42.188,4.0,94,19,103,272,6486,46
WangW,Wang,Wenming,,M,60,2446,40.767,4.0,178,19,33,119,6789,46
ThelwallM,Thelwall,Mike,,,32,1691,52.844,1.0,22,19,103,195,5165,46
LiuC,Liu,Chengyu,,M,57,2024,35.509,3.0,172,19,35,142,7784,46
WangG,Wang,Guosai,,,45,1527,33.933,4.0,126,19,51,227,8319,46
WangS,Wang,Senzhang,,,66,1564,23.697,3.0,191,18,29,218,11731,53
LiuS,Liu,Shuaicheng,,,55,1758,31.964,3.0,162,18,39,182,8901,53
LiuH,Liu,Haobing,,,54,1449,26.833,3.0,141,18,40,240,10528,53
DaiL,Dai,Linglong,,,23,1345,58.478,3.0,45,18,207,278,4631,53
ZhangS,Zhang,Shuo,,,69,2022,29.304,3.0,171,18,27,144,9605,53
YangZ,Yang,ZhiHong,,M,48,2931,61.062,3.0,122,18,45,91,4390,53
PopovskiP,Popovski,Petar,,F,37,1230,33.243,3.0,86,18,76,314,8386,53
MullerK,Muller,KlausRobert,,,22,3471,157.773,4.5,55,18,227,75,1249,53
CampsVallsG,CampsValls,Gustau,,,26,1815,69.808,3.0,65,18,163,170,3742,53
BennisM,Bennis,Mehdi,,M,21,2955,140.714,3.0,39,18,244,89,1490,53
WangQ,Wang,Qizhe,,M,47,1044,22.213,2.0,112,17,47,401,12342,65
WongK,Wong,KaiKit,,,26,1876,72.154,3.0,52,17,163,153,3573,65
ZhangC,Zhang,Chuyu,,F,64,1854,28.969,3.0,190,17,30,160,9850,65
RoyK,Roy,Kaushik,,M,23,939,40.826,3.0,29,17,207,463,6788,65
TomamichelM,Tomamichel,Marco,,M,24,1090,45.417,2.0,24,17,187,375,6078,65
LiuL,Liu,Liang,,M,42,1635,38.929,3.0,113,17,56,206,7125,65
ChenZ,Chen,Zeyi,,,63,1075,17.063,3.0,146,17,32,380,15299,65
HuangJ,Huang,Jade,,,40,2589,64.725,2.0,101,17,64,109,4145,65
LeusG,Leus,Geert,,M,22,3863,175.591,3.0,29,17,227,66,1082,65
LeeS,Lee,Soochahn,,,60,1558,25.967,3.0,177,17,33,221,10914,65
PanI,Pan,Indranil,,M,23,1361,59.174,2.0,11,17,207,263,4542,65
VorobyovS,Vorobyov,Sergiy,A,M,26,1030,39.615,2.0,30,17,163,414,6978,65
